id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-112,D1_Code,92.0,9.45,6.7218,0.000140,100.0,100.0,100.0,69.1,94.2,100.0,0.0,98.9,1,82.81
CIB-A1-113,D1_Code,96.0,9.45,5.0204,0.000105,100.0,100.0,100.0,89.6,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-114,D1_Code,97.0,9.45,4.8384,0.000101,100.0,100.0,100.0,97.0,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-115,D1_Code,87.0,9.45,9.0759,0.000189,0.0,85.0,100.0,27.4,50.6,100.0,0.0,98.9,1,57.54
CIB-A1-116,D1_Code,94.0,9.45,3.8451,0.000080,100.0,100.0,100.0,51.9,88.2,100.0,0.0,98.9,1,80.70
CIB-A1-117,D1_Code,86.0,9.45,5.2542,0.000109,100.0,100.0,100.0,18.4,76.4,100.0,0.0,98.9,1,76.58
CIB-A1-118,D1_Code,89.0,9.45,7.9452,0.000166,100.0,100.0,100.0,32.4,81.4,100.0,0.0,98.9,1,78.32
CIB-A1-119,D1_Code,92.0,9.45,4.1377,0.000086,100.0,100.0,100.0,37.9,83.3,100.0,0.0,98.9,1,78.98
CIB-A1-120,D1_Code,93.0,9.45,3.6901,0.000077,100.0,100.0,100.0,52.9,88.5,100.0,0.0,98.9,1,80.81
CIB-A1-121,D1_Code,91.0,9.45,20.4011,0.000425,100.0,100.0,100.0,42.8,85.0,100.0,0.0,95.1,1,78.51
CIB-A1-122,D1_Code,93.0,9.45,8.9443,0.000186,100.0,100.0,100.0,55.0,89.3,100.0,0.0,98.9,1,81.08
CIB-A1-123,D1_Code,96.0,9.45,7.0042,0.000146,100.0,100.0,100.0,88.0,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-124,D1_Code,89.0,9.45,11.8226,0.000246,100.0,95.0,100.0,19.0,75.3,100.0,0.0,98.6,1,76.15
CIB-A1-125,D1_Code,88.0,9.45,3.0276,0.000063,100.0,100.0,100.0,15.6,75.5,100.0,0.0,98.9,1,76.25
CIB-A1-126,D1_Code,93.0,9.45,3.1530,0.000066,0.0,90.0,100.0,78.9,67.6,100.0,0.0,98.9,1,63.50
CIB-A1-127,D1_Code,95.0,9.45,13.2392,0.000276,100.0,100.0,100.0,66.5,93.3,100.0,0.0,98.1,1,82.37
CIB-A1-128,D1_Code,91.0,9.45,3.2641,0.000068,100.0,100.0,100.0,42.6,84.9,100.0,0.0,98.9,1,79.55
CIB-A1-129,D1_Code,87.0,9.45,6.3535,0.000132,0.0,85.0,100.0,44.1,56.4,100.0,0.0,98.9,1,59.58
CIB-A1-130,D1_Code,88.0,9.45,11.2860,0.000235,0.0,85.0,100.0,56.9,60.9,100.0,0.0,98.8,1,61.14
CIB-A1-131,D1_Code,85.0,9.45,3.6748,0.000077,100.0,100.0,100.0,-35.9,57.4,100.0,0.0,98.9,1,69.93
CIB-A1-132,D1_Code,90.0,9.45,3.5686,0.000074,100.0,100.0,100.0,3.3,71.2,100.0,0.0,98.9,1,74.75
CIB-A1-133,D1_Code,75.0,9.45,6.3602,0.000133,0.0,70.0,100.0,-18.9,34.4,100.0,0.0,98.9,1,51.87
