id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,User_CSAT
CIB-A1-056,D1_Code,86.0,5.82,9.5741,0.000199,0.0,80.0,100.0,30.0,52.5,100.0,0.0,80.3,1.0,55.43,,,,,,,,,
CIB-A1-057,D1_Code,91.5,5.82,3.9911,8.3e-05,0.0,90.0,100.0,60.0,62.5,100.0,0.0,91.8,1.0,60.64,,,,,,,,,
CIB-A1-058,D1_Code,90.0,5.82,10.3779,0.000216,0.0,90.0,100.0,40.0,57.5,100.0,0.0,78.7,1.0,56.93,,,,,,,,,
CIB-A1-059,D1_Code,92.0,5.82,5.165,0.000108,0.0,95.0,100.0,50.0,61.3,100.0,0.0,89.4,1.0,59.85,,,,,,,,,
CIB-A1-060,D1_Code,94.0,5.82,3.115,6.5e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.6,1.0,63.11,,,,,,,,,
CIB-A1-061,D1_Code,87.0,5.82,1.3723,2.9e-05,0.0,80.0,100.0,40.0,55.0,100.0,0.0,97.2,1.0,58.83,,,,,,,,,
CIB-A1-062,D1_Code,91.0,5.82,2.5426,5.3e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,94.8,1.0,59.34,,,,,,,,,
CIB-A1-063,D1_Code,89.0,5.82,3.2716,6.8e-05,0.0,85.0,100.0,30.0,53.8,100.0,0.0,93.3,1.0,57.81,,,,,,,,,
CIB-A1-064,D1_Code,95.0,5.82,4.7751,9.9e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,90.2,1.0,63.48,,,,,,,,,
CIB-A1-065,D1_Code,96.0,5.82,3.4117,7.1e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,93.0,1.0,73.52,,,,,,,,,
CIB-A1-066,D1_Code,93.0,5.82,4.907,0.000102,0.0,95.0,100.0,85.0,70.0,100.0,0.0,89.9,1.0,62.99,,,,,,,,,
CIB-A1-067,D1_Code,88.0,5.82,1.7646,3.7e-05,0.0,80.0,100.0,40.0,55.0,100.0,0.0,96.4,1.0,58.71,,,,,,,,,
CIB-A1-068,D1_Code,85.0,5.82,4.1019,8.5e-05,0.0,80.0,100.0,35.0,53.8,100.0,0.0,91.6,1.0,57.56,,,,,,,,,
CIB-A1-069,D1_Code,92.0,5.82,3.7756,7.9e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,92.2,1.0,59.41,,,,,,,,,
CIB-A1-070,D1_Code,98.5,5.82,1.4957,3.1e-05,100.0,100.0,100.0,65.0,91.3,100.0,0.0,96.9,1.0,81.47,,,,,,,,,
CIB-A1-071,D1_Code,85.0,5.82,2.1965,4.6e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,95.5,1.0,56.82,,,,,,,,,
CIB-A1-072,D1_Code,90.0,5.82,4.4835,9.3e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,90.8,1.0,58.74,,,,,,,,,
CIB-A1-073,D1_Code,99.1,5.82,1.5104,3.1e-05,100.0,100.0,100.0,85.0,96.3,100.0,0.0,96.9,1.0,83.22,,,,,,,,,
CIB-A1-074,D1_Code,97.0,5.82,2.0272,4.2e-05,100.0,100.0,100.0,90.0,97.5,100.0,0.0,95.8,1.0,83.5,,,,,,,,,
